YEAR,MONTH,LOCATION,RAINFALL,TMAX,TMIN,RH,WIND SPEED,WIND DIRECTION
2013,1,Aya Talisay,0.628994931,0.995651754,0.998145437,0.993259804,0.99833666,0.764532745
2013,1,Balakilong Laurel,0.628994931,0.995651754,0.998145437,0.993259804,0.99833666,0.764532745
2013,1,Bañaga Agoncillo,0.628994931,0.995651754,0.998145437,0.993259804,0.99833666,0.764532745
2013,1,Berinayan Laurel,0.628994931,0.995651754,0.998145437,0.993259804,0.99833666,0.764532745
2013,1,Bilibinwang Agoncillo,0.628994931,0.995651754,0.998145437,0.993259804,0.99833666,0.764532745
2013,1,Buso Buso Laurel,0.628994931,0.995651754,0.998145437,0.993259804,0.99833666,0.764532745
2013,1,Leviste Laurel,0.6207162118425926,0.9960675641170635,0.9981218870324073,0.9929980212109788,0.9988709469728836,0.8148840011838625
2013,1,Manalao Agoncillo,0.6207162118425926,0.9960675641170635,0.9981218870324073,0.9929980212109788,0.9988709469728836,0.8148840011838625
2013,1,Mataas na Kahoy,0.628994931,0.995651754,0.998145437,0.993259804,0.99833666,0.764532745
2013,1,Quiling Talisay,0.6207162118425926,0.9960675641170635,0.9981218870324073,0.9929980212109788,0.9988709469728836,0.8148840011838625
2013,1,Sampaloc Talisay,0.628994931,0.995651754,0.998145437,0.993259804,0.99833666,0.764532745
2013,1,San Isidro Talisay,0.6207162118425926,0.9960675641170635,0.9981218870324073,0.9929980212109788,0.9988709469728836,0.8148840011838625
2013,1,San Nicolas,0.628994931,0.995651754,0.998145437,0.993259804,0.99833666,0.764532745
2013,1,Subic Ilaya Agoncilo,0.628994931,0.995651754,0.998145437,0.993259804,0.99833666,0.764532745
2013,1,Tanauan,0.628994931,0.995651754,0.998145437,0.993259804,0.99833666,0.764532745
2013,1,Tumaway Talisay,0.628994931,0.995651754,0.998145437,0.993259804,0.99833666,0.764532745
2014,1,Aya Talisay,0.550749394,0.992752923,0.995510005,0.986213235,1.0,0.764532745
2014,1,Balakilong Laurel,0.550749394,0.992752923,0.995510005,0.986213235,1.0,0.764532745
2014,1,Bañaga Agoncillo,0.550749394,0.992752923,0.995510005,0.986213235,1.0,0.764532745
2014,1,Berinayan Laurel,0.550749394,0.992752923,0.995510005,0.986213235,1.0,0.764532745
2014,1,Bilibinwang Agoncillo,0.550749394,0.992752923,0.995510005,0.986213235,1.0,0.764532745
2014,1,Buso Buso Laurel,0.550749394,0.992752923,0.995510005,0.986213235,1.0,0.764532745
2014,1,Leviste Laurel,0.6207162118425926,0.9960675641170635,0.9981218870324073,0.9929980212109788,0.9988709469728836,0.8148840011838625
2014,1,Manalao Agoncillo,0.6207162118425926,0.9960675641170635,0.9981218870324073,0.9929980212109788,0.9988709469728836,0.8148840011838625
2014,1,Mataas na Kahoy,0.57286386,0.995941637,0.997397104,0.991727941,0.998669328,0.813588423
2014,1,Quiling Talisay,0.550749394,0.992752923,0.995510005,0.986213235,1.0,0.764532745
2014,1,Sampaloc Talisay,0.550749394,0.992752923,0.995510005,0.986213235,1.0,0.764532745
2014,1,San Isidro Talisay,0.6207162118425926,0.9960675641170635,0.9981218870324073,0.9929980212109788,0.9988709469728836,0.8148840011838625
2014,1,San Nicolas,0.623291823,0.995796695,0.9977306,0.993336397,0.998752495,0.860191317
2014,1,Subic Ilaya Agoncilo,0.623291823,0.995796695,0.9977306,0.993336397,0.998752495,0.860191317
2014,1,Tanauan,0.623291823,0.995796695,0.9977306,0.993336397,0.998752495,0.860191317
2014,1,Tumaway Talisay,0.550749394,0.992752923,0.995510005,0.986213235,1.0,0.764532745
2015,1,Aya Talisay,0.578465947,0.992946178,0.996193265,0.991727941,0.999001996,0.764532745
2015,1,Balakilong Laurel,0.578465947,0.992946178,0.996193265,0.991727941,0.999001996,0.764532745
2015,1,Bañaga Agoncillo,0.578465947,0.992946178,0.996193265,0.991727941,0.999001996,0.764532745
2015,1,Berinayan Laurel,0.578465947,0.992946178,0.996193265,0.991727941,0.999001996,0.764532745
2015,1,Bilibinwang Agoncillo,0.578465947,0.992946178,0.996193265,0.991727941,0.999001996,0.764532745
2015,1,Buso Buso Laurel,0.578465947,0.992946178,0.996193265,0.991727941,0.999001996,0.764532745
2015,1,Leviste Laurel,0.6207162118425926,0.9960675641170635,0.9981218870324073,0.9929980212109788,0.9988709469728836,0.8148840011838625
2015,1,Manalao Agoncillo,0.6207162118425926,0.9960675641170635,0.9981218870324073,0.9929980212109788,0.9988709469728836,0.8148840011838625
2015,1,Mataas na Kahoy,0.649529792,0.996940123,0.998177973,0.991727941,0.999001996,0.808682855
2015,1,Quiling Talisay,0.6207162118425926,0.9960675641170635,0.9981218870324073,0.9929980212109788,0.9988709469728836,0.8148840011838625
2015,1,Sampaloc Talisay,0.578465947,0.992946178,0.996193265,0.991727941,0.999001996,0.764532745
